year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,14.52,100,13.87881015,18
2018,1,1,6,14.89,98.69,14.45041943,19.03079458
2018,1,1,7,16.65,91.06,17.61019206,23.21677045
2018,1,1,8,20.65,70.69,23.08256708,18
2018,1,1,9,23.54,55.12,25.14527252,24
2018,1,1,10,24.69,51.19,25.72636487,23.7509442
2018,1,1,11,25.5,49.12,26.18149697,21.16986271
2018,1,1,12,26.05,47.81,26.52042354,24
2018,1,1,13,26.26,47.19,26.65074083,24
2018,1,1,14,26.07,47.25,26.51392018,23.87151193
2018,1,1,15,25.44,48.69,26.13180273,24
2018,1,1,16,24.52,52.75,25.64046632,24
2018,1,1,17,23.37,57.75,25.00144736,24
2018,1,1,18,21.96,61.44,24.35024648,21.85095434
2018,1,1,19,20.44,69.06,23.31821716,24
2018,1,1,20,19.09,73.88,22.54991661,24
2018,1,1,21,18.1,76.31,22.26474882,19.74689854
2018,1,1,22,17.37,77.5,22.29180669,22.69018131
2018,1,1,23,16.85,78.19,22.41583326,23.80058885
2018,1,2,0,16.41,78.88,22.52772305,23.52087486
2018,1,2,1,15.77,81.38,22.21038131,24
2018,1,2,2,14.99,85.44,21.3423777,19.71202338
2018,1,2,3,14.26,90.69,19.60388356,23.91198202
2018,1,2,4,13.65,97.25,16.45704508,18
2018,1,2,5,13.28,100,15.03815676,18
2018,1,2,6,13.98,100,14.31827585,18
2018,1,2,7,17.37,87.81,18.7564452,21.18816927
2018,1,2,8,20.7,74.12,22.52459485,24
2018,1,2,9,23.21,64.31,24.63078352,21.74318895
2018,1,2,10,24.87,57.5,25.87681621,24
2018,1,2,11,25.78,53.38,26.50450555,24
2018,1,2,12,26.4,50.94,26.92668607,24
2018,1,2,13,26.4,49.81,26.87490099,24
2018,1,2,14,26.3,49.25,26.76857512,24
2018,1,2,15,25.88,49.94,26.47123678,24
2018,1,2,16,25.05,54.38,25.97991299,24
2018,1,2,17,22.66,72.5,23.65016338,24
2018,1,2,18,20.89,76.81,22.09886438,23.48074986
2018,1,2,19,19.83,78.56,21.46772675,18
2018,1,2,20,19.09,79.25,21.26587428,24
2018,1,2,21,18.33,81.06,20.85750228,23.66179199
2018,1,2,22,17.83,82.69,20.47306197,19.75586282
2018,1,2,23,17.05,86.25,19.47645841,24
2018,1,3,0,16,92,17.46465102,18
2018,1,3,1,15.33,97.12,15.11667795,18
2018,1,3,2,14.73,100,13.73516143,18
2018,1,3,3,14.82,100,13.6782699,18
2018,1,3,4,14.76,100,13.7158861,20.18111508
2018,1,3,5,14.56,100,13.85027178,18
2018,1,3,6,15.13,100,13.50376782,18
2018,1,3,7,17.58,88.56,18.41547421,18
2018,1,3,8,20.87,70.25,23.17978818,24
2018,1,3,9,23.76,55.44,25.23422589,23.57670089
2018,1,3,10,25.16,50.5,25.9939411,24
2018,1,3,11,26.04,47.94,26.51798858,24
2018,1,3,12,26.62,46.62,26.90300614,24
2018,1,3,13,26.81,46,27.02463808,24
2018,1,3,14,26.75,45.44,26.94763893,24
2018,1,3,15,26.33,46.06,26.65530476,22.77398326
2018,1,3,16,25.46,50.25,26.18319798,24
2018,1,3,17,22.98,63.94,24.53142297,24
2018,1,3,18,21.13,72.94,22.83376326,24
2018,1,3,19,19.78,76.19,21.9928817,21.85646962
2018,1,3,20,18.76,77.06,21.86946429,23.442137
2018,1,3,21,17.81,78.69,21.72363016,18
2018,1,3,22,16.95,81.31,21.33201903,24
2018,1,3,23,16.15,85.06,20.46454078,20.39180846
2018,1,4,0,16.05,86.44,19.96586068,18
2018,1,4,1,15.4,91.31,18.19770836,19.53049582
2018,1,4,2,14.28,98.81,14.83282179,18
2018,1,4,3,14.02,100,14.28226193,18
2018,1,4,4,14.23,100,14.10227374,18
2018,1,4,5,14.3,100,14.04566935,18
2018,1,4,6,15,98.5,14.49660353,18.17001763
2018,1,4,7,17.18,89.19,18.25047799,20.03580086
2018,1,4,8,20.14,74.5,22.36431311,18
2018,1,4,9,22.95,58.75,24.79599362,24
2018,1,4,10,24.63,52.25,25.69986659,24
2018,1,4,11,25.74,48.81,26.33464755,24
2018,1,4,12,26.44,46.62,26.76240587,24
2018,1,4,13,26.71,45.38,26.91308721,23.30361397
2018,1,4,14,26.49,45.19,26.73575577,24
2018,1,4,15,25.81,45.88,26.28853278,24
2018,1,4,16,24.08,57.19,25.36724119,24
2018,1,4,17,21.08,74.38,22.58836843,23.74795923
2018,1,4,18,19.58,74.88,22.27366071,20.02525493
2018,1,4,19,18.34,76.56,22.1107299,23.13345219
2018,1,4,20,17.43,79.31,21.71528477,20.20018788
2018,1,4,21,16.65,82.62,21.05714581,20.42687136
