year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,15.71,71.5,25.37800083,20.6421134
2018,1,1,6,15.44,72,25.55865957,22.64922523
2018,1,1,7,17.57,69,24.28029217,22.9589606
2018,1,1,8,20.81,52.38,24.91113664,24
2018,1,1,9,23.58,46.62,25.25021245,24
2018,1,1,10,27.33,36.31,26.91772535,24
2018,1,1,11,28.7,35.06,27.9369723,24
2018,1,1,12,29.34,34.31,28.46099979,24
2018,1,1,13,29.48,33.88,28.55903323,24
2018,1,1,14,29.06,34.5,28.21752111,24
2018,1,1,15,28.19,37.44,27.65714818,24
2018,1,1,16,26.1,49.38,26.61708602,24
2018,1,1,17,22.22,66.69,23.98161934,23.20151436
2018,1,1,18,20.62,71.62,22.93100273,24
2018,1,1,19,19.83,75.38,22.16708486,24
2018,1,1,20,19.13,77.81,21.62866307,22.93530648
2018,1,1,21,18.45,79,21.42418565,23.85389224
2018,1,1,22,17.78,79.31,21.55278513,19.06745888
2018,1,1,23,17.15,78.69,22.06390941,24
2018,1,2,0,16.6,77,22.97007996,24
2018,1,2,1,16.05,74.75,24.13079788,23.256601
2018,1,2,2,15.55,72.56,25.28011415,24
2018,1,2,3,15.1,71.19,26.18976692,24
2018,1,2,4,14.72,70.25,26.93426882,24
2018,1,2,5,14.4,69.62,27.54481296,24
2018,1,2,6,14.19,69.25,27.94707118,24
2018,1,2,7,16.65,64.06,25.96173231,24
2018,1,2,8,20.2,48.12,25.18891745,24
2018,1,2,9,23.14,43.44,25.13298829,23.79516526
2018,1,2,10,27.12,32.81,26.61118148,24
2018,1,2,11,28.62,32.38,27.69870342,24
2018,1,2,12,29.39,32.56,28.37639119,24
2018,1,2,13,29.69,32.25,28.63039022,24
2018,1,2,14,29.52,32.88,28.51950673,24
2018,1,2,15,28.86,35.62,28.11828319,24
2018,1,2,16,27.13,45.62,27.27102336,24
2018,1,2,17,23.04,64.31,24.53914749,22.90800261
2018,1,2,18,21.13,66.88,23.67143875,24
2018,1,2,19,20.16,70.56,23.07727419,23.20081994
2018,1,2,20,19.39,73.62,22.55576339,20.86236154
2018,1,2,21,18.66,76.12,22.12756196,22.91905158
2018,1,2,22,17.99,77.44,22.00445676,20.87125983
2018,1,2,23,17.46,77.31,22.29608145,20.48224104
2018,1,3,0,17.02,76.19,22.8949733,22.71767176
2018,1,3,1,16.65,74.31,23.70786769,20.30537627
2018,1,3,2,16.29,72.44,24.5315412,24
2018,1,3,3,15.9,71.38,25.20013726,23.42450583
2018,1,3,4,15.58,70.69,25.730774,24
2018,1,3,5,15.33,70,26.19901359,24
2018,1,3,6,15.16,69.5,26.53190993,21.50252054
2018,1,3,7,17.15,61.94,25.83496082,23.09233278
2018,1,3,8,19.71,54.56,25.06381943,24
2018,1,3,9,22.65,51.56,24.97176168,21.21259881
2018,1,3,10,26.85,39.31,26.72257729,24
2018,1,3,11,29.34,33.62,28.40847024,24
2018,1,3,12,30.19,32.44,29.12914135,24
2018,1,3,13,30.4,32.44,29.34080738,24
2018,1,3,14,30.12,33.25,29.13015955,24
2018,1,3,15,29.34,36.12,28.60683406,23.33194934
2018,1,3,16,27.26,47.5,27.50268842,24
2018,1,3,17,23.03,66.81,24.3702022,23.12811815
2018,1,3,18,21.26,72,23.0148028,24
2018,1,3,19,20.44,76.75,21.97246296,19.55179487
2018,1,3,20,19.83,79.62,21.21911293,24
2018,1,3,21,19.27,81.25,20.73814539,18.83224942
2018,1,3,22,18.67,82.62,20.34435434,18.93496377
2018,1,3,23,18.13,82.75,20.37672041,18.94037151
2018,1,4,0,17.82,80.94,21.03828922,21.74472431
2018,1,4,1,17.78,77.44,22.09588247,18.73672853
2018,1,4,2,17.69,74.5,22.93290617,24
2018,1,4,3,17.58,72.19,23.56760532,24
2018,1,4,4,17.34,70.75,24.06305723,24
2018,1,4,5,17.08,69.62,24.51203696,19.76056872
2018,1,4,6,16.79,68.88,24.91606692,24
2018,1,4,7,17.94,72.94,23.1821338,22.15075618
2018,1,4,8,20.76,56.19,24.70047533,24
2018,1,4,9,23.5,46.62,25.22743908,24
2018,1,4,10,26.65,38,26.52840973,24
2018,1,4,11,28.61,33.69,27.77034482,24
2018,1,4,12,29.65,31.25,28.51946542,24
2018,1,4,13,30.07,30.75,28.8741579,24
2018,1,4,14,29.93,31.19,28.77527025,23.65709489
2018,1,4,15,29.3,34.25,28.41909006,24
2018,1,4,16,27.37,46.62,27.5467454,24
2018,1,4,17,23.24,65.62,24.57231798,24
2018,1,4,18,21.45,70.44,23.29018292,22.24435051
2018,1,4,19,20.53,76.19,22.1042164,22.85231307
2018,1,4,20,19.77,81.12,20.84108098,19.49408019
2018,1,4,21,19.09,84.69,19.73685588,23.75003243
