year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,16.96,92.81,16.72206743,18
2018,1,1,6,17.3,93.69,16.27627893,18
2018,1,1,7,19.91,81.81,20.70187661,18
2018,1,1,8,23.38,66.88,24.58732473,24
2018,1,1,9,25.76,56.69,26.58680046,24
2018,1,1,10,27.48,50.25,27.90868297,24
2018,1,1,11,28.66,46.19,28.82953712,24
2018,1,1,12,29.28,43.94,29.30099405,24
2018,1,1,13,29.51,42.81,29.44191323,24
2018,1,1,14,29.19,43.31,29.13058457,24
2018,1,1,15,28.44,45.38,28.51217396,24
2018,1,1,16,26.94,53.75,27.59053091,24
2018,1,1,17,23.83,72.62,24.62416453,24
2018,1,1,18,22.23,77.19,22.78674043,22.87572344
2018,1,1,19,21.26,81.06,21.48088095,18.91612443
2018,1,1,20,20.46,84.38,20.28634514,23.31545732
2018,1,1,21,19.73,87,19.22916243,19.99190456
2018,1,1,22,19.04,89.44,18.1975677,19.59050554
2018,1,1,23,18.52,91.38,17.35312858,18
2018,1,2,0,18.12,92.94,16.6524858,18
2018,1,2,1,17.86,93.75,16.27134074,18
2018,1,2,2,17.71,94.06,16.1194423,18
2018,1,2,3,17.57,94.31,15.99739589,18
2018,1,2,4,17.42,94.5,15.90524893,19.93634992
2018,1,2,5,17.03,96.56,14.92421117,18
2018,1,2,6,17.09,96.88,14.76579323,18
2018,1,2,7,19.8,83.25,20.30002245,18
2018,1,2,8,23.61,65.81,24.80264925,23.28798546
2018,1,2,9,26.24,55.25,26.97568959,24
2018,1,2,10,28,49,28.36087754,22.86670914
2018,1,2,11,29.2,45.06,29.33153391,24
2018,1,2,12,29.9,42.69,29.89106874,24
2018,1,2,13,30.26,41.5,30.18199128,24
2018,1,2,14,30.02,41.69,29.91333721,24
2018,1,2,15,29.4,42.94,29.32944985,24
2018,1,2,16,28.17,48.12,28.46881901,24
2018,1,2,17,25.01,67.81,26.00472429,23.30935902
2018,1,2,18,23.07,73.81,23.8376182,24
2018,1,2,19,22.1,77.88,22.59330952,18.39042164
2018,1,2,20,21.42,80.31,21.72426976,24
2018,1,2,21,20.98,81.88,21.14543336,19.2460349
2018,1,2,22,20.71,82.44,20.87378066,21.17897542
2018,1,2,23,20.38,84,20.33832702,20.88595505
2018,1,3,0,19.76,87.69,19.03892764,18
2018,1,3,1,19,92.75,17.00672327,18
2018,1,3,2,18.44,97.12,14.99430919,18
2018,1,3,3,18.07,100,13.50225851,18
2018,1,3,4,17.92,100,13.42991613,18
2018,1,3,5,17.98,100,13.45791864,18
2018,1,3,6,18.62,99.44,14.08317803,18
2018,1,3,7,20.85,87.5,19.77767113,23.51402888
2018,1,3,8,23.17,75.12,23.80690315,22.52059854
2018,1,3,9,25.43,63.62,26.42741388,24
2018,1,3,10,27.1,55.88,27.90689344,24
2018,1,3,11,28.28,51.12,28.88122194,24
2018,1,3,12,29.13,47.81,29.56276714,24
2018,1,3,13,29.66,45.19,29.9062461,24
2018,1,3,14,29.64,44.06,29.74210756,24
2018,1,3,15,29.14,44.38,29.18744029,24
2018,1,3,16,28.12,49.25,28.51586768,24
2018,1,3,17,25.88,62.62,26.88847626,24
2018,1,3,18,24.45,69.12,25.39281623,24
2018,1,3,19,23.63,73.38,24.38000415,19.7431699
2018,1,3,20,22.73,76.69,23.25312264,20.45201816
2018,1,3,21,22.01,78.88,22.3779824,22.41488124
2018,1,3,22,21.5,81.12,21.63007267,22.38587358
2018,1,3,23,20.88,84.38,20.53807603,20.92801092
2018,1,4,0,19.91,89.81,18.48165559,18.65440109
2018,1,4,1,19.16,93.5,16.8106977,18
2018,1,4,2,18.67,96.06,15.55597979,18
2018,1,4,3,18.43,97.44,14.85054712,18
2018,1,4,4,18.22,99,14.04666379,18
2018,1,4,5,18,100,13.46752968,18
2018,1,4,6,18.56,98.19,14.59418371,18
2018,1,4,7,20.87,85.62,20.24484978,24
2018,1,4,8,23.05,72.94,23.89913479,19.64441603
2018,1,4,9,25.03,62.81,26.02575219,24
2018,1,4,10,26.76,55.5,27.50926733,24
2018,1,4,11,28.08,50.19,28.55681606,24
2018,1,4,12,28.96,46.5,29.20725273,24
2018,1,4,13,29.4,44.44,29.49807103,24
2018,1,4,14,29.4,43.75,29.41949504,24
2018,1,4,15,28.93,44.31,28.9428067,24
