year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,15.4,80.56,22.88361005,22.51504822
2018,1,1,6,15.52,80.44,22.80265241,23.83889058
2018,1,1,7,18.08,70.31,23.69500441,20.15383816
2018,1,1,8,21.46,56.75,24.62504075,20.09267146
2018,1,1,9,25.9,35.94,26.00296197,24
2018,1,1,10,27.83,29.25,26.94055205,22.70306769
2018,1,1,11,28.99,26.5,27.68420991,24
2018,1,1,12,29.78,24.81,28.24677669,24
2018,1,1,13,30.11,23.94,28.48374245,24
2018,1,1,14,29.92,23.81,28.31713284,24
2018,1,1,15,29.16,24.56,27.73317216,24
2018,1,1,16,26.76,40.12,26.69740697,24
2018,1,1,17,24.29,40.62,25.41285438,24
2018,1,1,18,22.51,43.62,25.04007532,24
2018,1,1,19,20.89,47.5,25.05386421,24
2018,1,1,20,19.52,50.94,25.32829575,24
2018,1,1,21,18.2,54.19,25.83972746,23.84929874
2018,1,1,22,16.95,57.38,26.54784132,24
2018,1,1,23,15.84,60.12,27.38119636,24
2018,1,2,0,14.94,62.06,28.23904996,24
2018,1,2,1,14.18,63.81,29.05673997,24
2018,1,2,2,13.55,65.44,29.77742594,24
2018,1,2,3,13.08,67,30.28586412,24
2018,1,2,4,12.69,69.12,30.53362123,24
2018,1,2,5,12.44,71.69,30.35327905,24
2018,1,2,6,12.87,74,28.85564727,24
2018,1,2,7,16.15,63,26.63794111,24
2018,1,2,8,19.68,57.94,24.8104098,24
2018,1,2,9,23.68,47.94,25.28031315,24
2018,1,2,10,26.05,40.5,26.2508372,24
2018,1,2,11,27.55,35.75,27.05003521,24
2018,1,2,12,28.44,33.19,27.59963997,24
2018,1,2,13,28.82,31.75,27.82647098,24
2018,1,2,14,28.74,31.19,27.72747362,24
2018,1,2,15,28.11,31.75,27.26200836,24
2018,1,2,16,25.96,45.62,26.37840342,24
2018,1,2,17,22.29,56.19,24.73878113,24
2018,1,2,18,20.59,60.38,24.37857703,24
2018,1,2,19,19.58,63.81,24.18733735,21.35020166
2018,1,2,20,18.69,67.38,23.96048407,21.71299226
2018,1,2,21,17.9,70.44,23.76810056,18.8315685
2018,1,2,22,17.19,72.5,23.75747952,18.96921395
2018,1,2,23,16.51,74,23.91287199,24
2018,1,3,0,15.84,75,24.27050513,22.38263383
2018,1,3,1,15.21,75.62,24.78695757,24
2018,1,3,2,14.61,76,25.43199454,24
2018,1,3,3,14.05,76.12,26.19356112,24
2018,1,3,4,13.58,75.88,27.01208931,24
2018,1,3,5,13.21,75.25,27.84604881,24
2018,1,3,6,13.46,73.75,27.8942551,24
2018,1,3,7,16.43,59.69,26.79884078,24
2018,1,3,8,19.65,49.94,25.31561174,24
2018,1,3,9,23.76,39.5,25.22540879,23.81071353
2018,1,3,10,25.92,34.25,25.95418295,20.23748916
2018,1,3,11,27.14,31.31,26.56105901,24
2018,1,3,12,27.97,29.31,27.04264453,24
2018,1,3,13,28.34,28.06,27.25726673,24
2018,1,3,14,28.3,27.5,27.20324977,23.51077126
