year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,21.47,96.94,18.06134821,18
2018,1,1,6,22.14,93.75,19.83016959,18.97145185
2018,1,1,7,23.47,88.69,22.77719092,21.8061718
2018,1,1,8,25.28,83.69,26.3345599,24
2018,1,1,9,26.5,78.31,28.55773292,24
2018,1,1,10,27.31,73.62,29.7541093,24
2018,1,1,11,27.85,70.12,30.39387758,24
2018,1,1,12,27.92,68.56,30.32967148,24
2018,1,1,13,27.85,68.06,30.14050233,24
2018,1,1,14,27.67,68.12,29.82682481,24
2018,1,1,15,27.24,69.44,29.21465622,24
2018,1,1,16,26.23,74.62,27.85232229,23.03934999
2018,1,1,17,24.34,82.62,24.70841075,24
2018,1,1,18,23.69,83.31,23.67045326,24
2018,1,1,19,23.3,83.88,23.06726367,24
2018,1,1,20,22.94,84.62,22.50150583,24
2018,1,1,21,22.61,85.5,21.96124745,24
2018,1,1,22,22.31,86.38,21.45717013,22.38252451
2018,1,1,23,22.06,87.19,21.02109521,23.02914797
2018,1,2,0,21.83,88.38,20.52652413,18
2018,1,2,1,21.58,89.81,19.93816552,18.82450669
2018,1,2,2,21.33,91.5,19.25914029,18
2018,1,2,3,21.05,93.5,18.42272978,20.77262481
2018,1,2,4,20.79,95.31,17.60865173,18
2018,1,2,5,20.56,96.62,16.93969332,18
2018,1,2,6,21.33,93.31,18.80893376,21.36586812
2018,1,2,7,23.18,85.94,22.65853472,20.05299316
2018,1,2,8,24.96,79.81,25.81040279,24
2018,1,2,9,26.23,75,27.87075261,24
2018,1,2,10,27.21,71.12,29.32017656,24
2018,1,2,11,27.87,68.38,30.21570518,24
2018,1,2,12,28.26,66.31,30.65641742,24
2018,1,2,13,28.31,65.31,30.60939876,24
2018,1,2,14,27.99,65.88,30.12170202,24
2018,1,2,15,27.34,68.56,29.30159564,24
2018,1,2,16,26.03,76.5,27.58737415,24
2018,1,2,17,24.39,85.12,24.65348342,18.73651405
2018,1,2,18,23.89,88,23.56716661,20.40974765
2018,1,2,19,23.54,90.19,22.7239257,21.08154022
2018,1,2,20,23.17,91.81,21.86277209,22.56146921
2018,1,2,21,22.82,93.25,21.03150933,20.32989688
2018,1,2,22,22.5,94.19,20.31940734,23.64238845
2018,1,2,23,22.22,94.81,19.73414885,19.27966437
2018,1,3,0,21.98,95.19,19.26954445,23.81590645
2018,1,3,1,21.77,95.5,18.87466972,18
2018,1,3,2,21.58,96.12,18.43733832,18
2018,1,3,3,21.4,96.56,18.05885327,23.29545992
2018,1,3,4,21.26,96.88,17.77098381,21.23441395
2018,1,3,5,21.1,97.31,17.42445942,18
2018,1,3,6,21.98,93.31,19.68518945,21.96034757
2018,1,3,7,24.14,84.56,24.26491374,24
2018,1,3,8,25.64,77.62,26.94423912,24
2018,1,3,9,26.66,72.12,28.44026533,24
2018,1,3,10,27.51,67.06,29.43812536,24
2018,1,3,11,28.06,63.19,29.91153536,23.4695842
2018,1,3,12,28.31,61.12,30.05777711,24
2018,1,3,13,28.26,60.62,29.91669004,24
2018,1,3,14,27.98,61.44,29.58100278,24
2018,1,3,15,27.36,64.31,28.93154519,24
2018,1,3,16,26.01,73.69,27.44689063,24
2018,1,3,17,24.08,83.25,24.25964607,24
2018,1,3,18,23.52,85.94,23.16122434,24
2018,1,3,19,23.21,87.5,22.5074744,20.94407335
2018,1,3,20,22.89,88.56,21.88241208,24
2018,1,3,21,22.55,89.5,21.24004966,22.14644298
2018,1,3,22,22.23,90.56,20.6002579,21.9823599
2018,1,3,23,21.98,91.38,20.09563986,18.75101077
2018,1,4,0,21.76,92,19.66973948,24
2018,1,4,1,21.62,92.19,19.44561341,19.35510281
2018,1,4,2,21.67,91.12,19.75220294,23.37663945
2018,1,4,3,21.41,91.12,19.44247444,18
2018,1,4,4,21.26,90.5,19.42496648,18
2018,1,4,5,21.15,89.5,19.55472429,22.97868925
2018,1,4,6,21.9,86.06,21.05719551,20.42760296
2018,1,4,7,24.26,75.88,24.93508534,22.1853019
2018,1,4,8,25.65,67.88,26.76084351,24
2018,1,4,9,26.65,61.25,27.72743225,24
2018,1,4,10,27.4,55.81,28.25137125,24
2018,1,4,11,27.79,53,28.47527297,24
2018,1,4,12,27.91,52.25,28.54887845,24
2018,1,4,13,27.76,52.88,28.42952257,24
2018,1,4,14,27.29,54.31,28.00733419,21.10326767
2018,1,4,15,26.49,57.94,27.35705704,24
2018,1,4,16,24.99,67.56,25.98368277,24
2018,1,4,17,23.02,75.56,23.62883087,24
2018,1,4,18,22.35,77.44,22.84574764,24
2018,1,4,19,21.91,78.38,22.38116877,18
2018,1,4,20,21.54,79.12,22.0121957,24
2018,1,4,21,21.24,79.75,21.71772488,18.40223661
2018,1,4,22,21.01,80.06,21.53198278,19.73658138
2018,1,4,23,20.84,80.12,21.43510333,21.93742718
2018,1,5,0,20.73,79.94,21.42194483,24
2018,1,5,1,20.66,79.62,21.45898663,23.30486251
2018,1,5,2,20.51,79.94,21.33246075,20.69301799
