year,month,day,hour,Temperature,Relative Humidity,Heat_Index_Celsius,Simulated_Comfort_Temperature
2018,1,1,5,19.58,100,14.66425991,18
2018,1,1,6,20.35,95.75,16.98281663,18.81475254
2018,1,1,7,22.76,82.81,22.52355639,19.29204525
2018,1,1,8,25.23,71.12,26.26657695,24
2018,1,1,9,27.37,61.56,28.69834936,23.00283908
2018,1,1,10,28.98,54.69,30.23475314,24
2018,1,1,11,30.19,50,31.3332499,24
2018,1,1,12,31.03,47,32.09694864,24
2018,1,1,13,31.48,45.19,32.4560245,24
2018,1,1,14,31.53,44.5,32.40296678,24
2018,1,1,15,31.17,45.19,31.98412138,24
2018,1,1,16,30.23,49.19,31.26098307,24
2018,1,1,17,27.37,67.94,29.29183209,24
2018,1,1,18,25.68,73.19,26.91908796,24
2018,1,1,19,24.83,75.31,25.70044843,24
2018,1,1,20,24.09,79.06,24.54582115,24
2018,1,1,21,23.42,83.75,23.24583352,24
2018,1,1,22,22.89,88.12,21.9470163,21.48296608
2018,1,1,23,22.44,91.94,20.64557748,18.40154228
2018,1,2,0,22.08,94.94,19.48222657,20.72415725
2018,1,2,1,21.72,97.06,18.41622389,18
2018,1,2,2,21.6,97.44,18.13017873,21.33117851
2018,1,2,3,21.72,96.31,18.60191809,21.83298152
2018,1,2,4,21.62,96.38,18.4316249,18.11514827
2018,1,2,5,21.31,97.94,17.55023375,23.10459676
2018,1,2,6,21.76,95.94,18.753669,21.16009885
2018,1,2,7,23.92,83.38,24.00459585,22.50969373
2018,1,2,8,26.2,70.19,27.59548641,24
2018,1,2,9,28.19,60.88,29.83947332,24
2018,1,2,10,29.86,53.81,31.45226284,24
2018,1,2,11,31.04,49.19,32.52460588,24
2018,1,2,12,31.67,46.62,33.04024532,24
2018,1,2,13,32.15,44.62,33.40666499,24
2018,1,2,14,32.02,44.38,33.1463754,24
2018,1,2,15,31.26,46.5,32.36141256,24
2018,1,2,16,29.8,52.75,31.18379181,24
2018,1,2,17,27.06,68.5,28.82973234,24
2018,1,2,18,25.79,72.38,27.0636974,24
2018,1,2,19,24.93,76.88,25.81470274,24
2018,1,2,20,24.21,81.62,24.56361808,24
2018,1,2,21,23.65,85.62,23.39406958,24
2018,1,2,22,23.13,89.25,22.15272821,23.2090855
2018,1,2,23,22.72,92,21.0749504,19.84586888
2018,1,3,0,22.34,94.19,20.05553793,20.11504429
2018,1,3,1,22.07,95.44,19.35647799,18
2018,1,3,2,21.79,96.25,18.72526053,22.09543588
2018,1,3,3,21.55,96.75,18.23130872,18
2018,1,3,4,21.37,96.94,17.91333747,18
2018,1,3,5,21.2,97.06,17.63583424,18
2018,1,3,6,21.65,93.94,19.07373379,21.99422414
2018,1,3,7,23.22,85,22.8287071,24
2018,1,3,8,25.02,74.19,25.9773227,24
2018,1,3,9,26.87,63.5,28.15987792,24
2018,1,3,10,28.58,55.62,29.77694129,24
2018,1,3,11,29.85,51.06,30.99221501,24
2018,1,3,12,30.83,47.88,31.94721179,24
2018,1,3,13,31.23,46.12,32.24393696,24
2018,1,3,14,31.26,45.25,32.13040698,24
2018,1,3,15,30.7,46.25,31.47114852,24
2018,1,3,16,29.33,52,30.37107867,24
2018,1,3,17,26.46,68.31,27.88492941,24
2018,1,3,18,25.17,71.31,26.18960066,23.31571917
2018,1,3,19,24.33,75.25,25.04972021,24
2018,1,3,20,23.38,81.56,23.41766194,24
2018,1,3,21,22.6,87.12,21.69799182,23.01183981
2018,1,3,22,22.01,91.31,20.15062135,18
2018,1,3,23,21.52,94.5,18.75830921,19.799248
2018,1,4,0,21.14,96.81,17.62248615,18
2018,1,4,1,20.85,98.31,16.78130405,18
2018,1,4,2,20.65,99.25,16.21114181,18
2018,1,4,3,20.51,99.69,15.87721223,18
2018,1,4,4,20.26,100,15.44524408,18.74955707
2018,1,4,5,20.02,100,15.15132904,18
2018,1,4,6,20.9,96.56,17.37539184,18.12503961
2018,1,4,7,23.19,83.25,22.99277285,23.66747622
2018,1,4,8,25.34,69,26.39258578,24
2018,1,4,9,27.36,56.81,28.28379795,24
2018,1,4,10,29,49.88,29.64521343,24
2018,1,4,11,30.05,46.56,30.60150592,24
2018,1,4,12,30.68,44.5,31.16052065,24
2018,1,4,13,30.9,43.75,31.34941448,24
2018,1,4,14,30.79,43.5,31.15703344,24
2018,1,4,15,30.02,45.38,30.39457135,24
2018,1,4,16,28.45,52.38,29.22495934,24
2018,1,4,17,25.63,65.56,26.68493646,24
2018,1,4,18,24.38,68.25,25.34698776,24
2018,1,4,19,23.17,72.12,24.06545395,24
2018,1,4,20,22.09,76.56,22.772734,20.51794651
2018,1,4,21,21.19,80.56,21.53455669,18
2018,1,4,22,20.36,84.75,20.14146381,18.44897669
2018,1,4,23,19.67,88.38,18.78891313,18.79416155
2018,1,5,0,19.16,90.69,17.81213275,20.23439302
2018,1,5,1,18.76,92.12,17.14443459,20.56363902
2018,1,5,2,18.39,93.56,16.46391939,18
2018,1,5,3,18.08,94.94,15.80187588,18
2018,1,5,4,17.81,96.25,15.15533686,18
2018,1,5,5,17.53,97.44,14.53917751,18
2018,1,5,6,18.37,92.69,16.8072811,18
2018,1,5,7,20.97,79,21.71933835,18.07446489
2018,1,5,8,24.16,62.12,25.32140521,24
2018,1,5,9,26.26,51.44,26.8295638,23.67654589
2018,1,5,10,27.91,45.38,27.97096548,24
2018,1,5,11,28.93,42.56,28.77053157,24
2018,1,5,12,29.7,40.44,29.39688225,24
2018,1,5,13,30.05,39.06,29.6396537,24
2018,1,5,14,30.04,38.75,29.59382079,24
2018,1,5,15,29.29,40.56,28.96033116,24
2018,1,5,16,27.49,48.94,27.82252334,24
2018,1,5,17,23.89,65.69,25.01171231,24
2018,1,5,18,22.43,70.62,23.69800756,24
2018,1,5,19,21.55,75.12,22.665451,22.69359517
2018,1,5,20,20.69,80.62,21.2610378,18
2018,1,5,21,19.88,85.88,19.61382398,18.14031783
2018,1,5,22,19.12,90.38,17.90320958,18
2018,1,5,23,18.51,93.31,16.60118806,18
2018,1,6,0,18,95.75,15.42729736,18
2018,1,6,1,17.57,97.88,14.33581878,18
2018,1,6,2,17.24,99.12,13.65304871,18
2018,1,6,3,16.94,100,13.14890946,18
2018,1,6,4,16.61,100,13.12909216,20.50381199
2018,1,6,5,16.29,100,13.14586877,18
2018,1,6,6,17.19,96.94,14.73987318,18
2018,1,6,7,19.98,80.56,21.0260997,18
2018,1,6,8,23.48,58.69,25.01986295,24
2018,1,6,9,25.83,48.06,26.37318313,24
2018,1,6,10,27.45,43.31,27.40493304,24
2018,1,6,11,28.76,40.19,28.38335454,24
2018,1,6,12,29.65,38.12,29.10269217,24
2018,1,6,13,30.08,36.94,29.44390367,24
2018,1,6,14,30.06,36.5,29.3771773,24
2018,1,6,15,29.44,37.25,28.80401019,24
2018,1,6,16,27.74,45.62,27.82450423,24
2018,1,6,17,23.88,65.12,25.02638491,24
2018,1,6,18,22.26,67.75,23.89811796,21.95386584
2018,1,6,19,21.23,71.56,23.06955724,24
2018,1,6,20,20.22,77.31,21.80900284,18.27459481
2018,1,6,21,19.33,83.19,20.21028444,18
2018,1,6,22,18.61,88.06,18.57770852,18.71121855
2018,1,6,23,18.01,92,17.02170401,18
2018,1,7,0,17.58,94.44,15.93971895,18
2018,1,7,1,17.36,95.38,15.49641762,18
2018,1,7,2,17,96.62,14.89504682,18
2018,1,7,3,16.58,98.06,14.18043423,18
2018,1,7,4,16.31,98.44,14.01221164,18
2018,1,7,5,16.12,98.44,14.05141393,18
2018,1,7,6,16.98,93,16.63074043,18
2018,1,7,7,19.62,78.44,21.47379828,22.57393577
2018,1,7,8,22.9,60.56,24.68885371,20.95063658
2018,1,7,9,25.43,50.56,26.17040788,21.71909192
2018,1,7,10,27.2,45.31,27.3127734,22.85753447
2018,1,7,11,28.52,41.81,28.28300861,24
2018,1,7,12,29.39,39.5,28.96290576,24
2018,1,7,13,29.78,38.25,29.25441192,24
2018,1,7,14,29.88,37.19,29.25447392,24
2018,1,7,15,29.3,38.12,28.74100798,23.17837832
2018,1,7,16,27.59,46.25,27.72700975,24
2018,1,7,17,23.68,64.62,24.90542281,24
2018,1,7,18,22.12,68,23.81472347,23.86891982
2018,1,7,19,21.16,72.44,22.91918573,20.66763637
2018,1,7,20,20.32,78.06,21.67412207,19.46150726
2018,1,7,21,19.53,84.06,20.00593023,19.57184597
2018,1,7,22,18.79,88.94,18.30257362,19.51724059
2018,1,7,23,18.15,92.38,16.88609458,18
2018,1,8,0,17.56,95.44,15.48354312,18
2018,1,8,1,17.14,97.56,14.42943712,18
2018,1,8,2,16.76,99,13.67170014,18
2018,1,8,3,16.45,99.62,13.34453831,18
2018,1,8,4,16.25,99.44,13.46689719,18
2018,1,8,5,16.1,98.81,13.84916954,18.75887957
2018,1,8,6,17.18,92.12,16.99391732,18
2018,1,8,7,20.39,75.12,22.27902536,24
2018,1,8,8,23.37,58.56,24.97372615,24
2018,1,8,9,25.52,47.75,26.15839912,24
2018,1,8,10,27.3,41.19,27.15495484,24
2018,1,8,11,28.7,36.75,28.05627803,24
2018,1,8,12,29.67,33.81,28.73470148,24
2018,1,8,13,30.12,32.12,29.03261925,24
2018,1,8,14,30,31.81,28.89050364,24
2018,1,8,15,29.15,33.69,28.24030271,24
2018,1,8,16,27.16,43,27.14500647,24
2018,1,8,17,23.38,60.94,24.88648862,20.997187
2018,1,8,18,22.17,67.69,23.86602723,24
2018,1,8,19,21.79,73.56,23.00837331,24
2018,1,8,20,21.22,80.81,21.50429411,18.98317348
2018,1,8,21,20.39,87.38,19.47715455,20.87706306
2018,1,8,22,19.88,90.38,18.28791393,18
2018,1,8,23,19.36,92.75,17.19207523,18.44365335
2018,1,9,0,18.63,95.81,15.63906676,18
2018,1,9,1,18.19,97.5,14.71383855,18
2018,1,9,2,17.88,98.25,14.24954187,18
2018,1,9,3,17.6,98.88,13.85702836,18.46667997
2018,1,9,4,17.42,99,13.75062786,18
2018,1,9,5,17.36,98.62,13.92798375,18
2018,1,9,6,18.36,92.56,16.85648104,18
2018,1,9,7,21.16,78.38,21.92805373,21.88495352
2018,1,9,8,24.39,63.25,25.47082966,24
2018,1,9,9,26.25,54.12,26.93605196,24
2018,1,9,10,27.68,48.94,28.01582969,24
2018,1,9,11,28.55,47.06,28.79166614,24
2018,1,9,12,29.17,46.19,29.42330603,24
2018,1,9,13,29.62,45.75,29.92657857,24
2018,1,9,14,29.59,46.81,30.02418796,24
2018,1,9,15,28.84,50.12,29.46797748,24
2018,1,9,16,27.3,59,28.38665124,24
2018,1,9,17,24.9,76.56,25.77625296,24
2018,1,9,18,23.77,82.81,23.82934407,24
2018,1,9,19,23.25,87,22.63040843,18
2018,1,9,20,22.84,90.94,21.44140084,23.107429
2018,1,9,21,22.54,93.94,20.43351994,18
2018,1,9,22,22.27,95.81,19.60714865,18
2018,1,9,23,22.02,96.56,19.02290659,18
2018,1,10,0,21.86,96.38,18.80463326,18
2018,1,10,1,21.62,96.5,18.40133577,23.85488362
2018,1,10,2,21.39,96.44,18.07632185,18
2018,1,10,3,21.2,96.12,17.89711445,18.0593589
2018,1,10,4,21.02,96.25,17.62086587,22.34445827
2018,1,10,5,20.91,96.12,17.51732323,19.63409102
2018,1,10,6,21.17,95.19,18.11200501,18
2018,1,10,7,22.28,92,20.39409218,24
2018,1,10,8,24.05,85.38,24.05718471,24
2018,1,10,9,26.42,73.88,28.13989595,20.45232244
2018,1,10,10,28.43,63.62,30.58742468,24
2018,1,10,11,29.63,58.12,31.80615718,24
2018,1,10,12,30.47,54.5,32.6000549,24
2018,1,10,13,30.71,53.06,32.73263376,24
2018,1,10,14,30.38,53.81,32.3116141,24
2018,1,10,15,29.42,56.69,31.21227429,24
2018,1,10,16,27.79,62.88,29.44747961,24
2018,1,10,17,25.75,73.38,27.02946798,24
2018,1,10,18,24.56,80.56,25.15198853,24
2018,1,10,19,23.76,86,23.53156944,24
2018,1,10,20,23.1,90.75,21.89424375,22.94850422
2018,1,10,21,22.52,94.75,20.24654813,18
2018,1,10,22,22.2,96.5,19.34002799,22.66847764
2018,1,10,23,22.03,97.19,18.89484824,18
2018,1,11,0,21.91,97.69,18.57340905,18
2018,1,11,1,21.79,98,18.29578667,20.73258094
2018,1,11,2,21.73,98,18.19621758,18
2018,1,11,3,21.58,98.12,17.92112864,21.15730729
2018,1,11,4,21.44,98.25,17.6643343,20.08804335
2018,1,11,5,21.28,98.44,17.36449204,22.00784335
2018,1,11,6,21.9,96,18.95778161,19.63239536
2018,1,11,7,23.47,90,22.62321778,20.11157163
2018,1,11,8,25.76,77.12,27.13866555,24
2018,1,11,9,28.07,63.94,30.01906303,24
2018,1,11,10,29.83,55.56,31.70142922,24
2018,1,11,11,31.07,50.12,32.75748887,24
2018,1,11,12,31.83,46.75,33.33146861,24
2018,1,11,13,32.12,44.88,33.412872,24
2018,1,11,14,31.91,44.69,33.03382946,24
2018,1,11,15,31.08,46.69,32.11751901,24
2018,1,11,16,29.52,52.25,30.68325212,24
2018,1,11,17,26.84,65.44,28.25510949,24
